"Marital.status","Application.mode","Application.order","Course","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"1","17","5","171","daytime","1",122,"19","0","5","9",127.3,1,0,1,"male",0,20,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"1","0","1","9254","daytime","1",160,"1","0","3","3",142.5,1,0,0,"male",0,19,0,0,6,6,6,13.6666666666667,0,13.9,-0.3,0.79,"Graduate"
"1","1","5","9070","daytime","1",122,"37","37","9","9",124.8,1,0,0,"male",0,19,0,0,6,0,0,0,0,10.8,1.4,1.74,"Dropout"
"1","17","2","9773","daytime","1",122,"38","37","5","3",119.6,1,0,1,"female",0,20,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,"Graduate"
"2","39","1","8014","evening","1",100,"37","38","9","9",141.5,0,0,1,"female",0,45,0,0,6,6,6,13,0,13.9,-0.3,0.79,"Graduate"
"2","39","1","9991","evening","0",133.1,"37","37","9","7",114.8,0,1,1,"male",0,50,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,"Graduate"
"1","1","1","9500","daytime","1",142,"19","38","0","0",128.4,1,0,1,"female",1,18,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,"Graduate"
"1","0","4","9254","daytime","1",119,"37","37","9","9",113.1,1,0,0,"male",0,22,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout"
"1","1","3","9238","daytime","1",137,"1","1","9","9",129.3,0,0,1,"female",1,21,0,0,6,7,6,14.1428571428571,0,16.2,0.3,-0.92,"Graduate"
"1","1","1","9238","daytime","1",138,"1","19","4","7",123,1,1,0,"female",0,18,0,0,6,14,2,13.5,0,8.9,1.4,3.51,"Dropout"
"1","1","1","9670","daytime","1",139,"38","19","5","7",130.6,1,0,1,"female",0,18,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,"Graduate"
"1","1","1","9500","daytime","1",136,"19","38","9","9",119.3,1,0,1,"female",1,18,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,"Graduate"
"1","1","2","9853","daytime","1",133,"19","37","4","9",130.2,1,0,1,"female",0,19,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout"
"1","0","1","9254","daytime","0",110,"1","1","4","7",111.8,1,0,1,"female",1,21,0,0,6,8,5,11,0,8.9,1.4,3.51,"Graduate"
"1","1","1","9085","daytime","1",149,"38","37","5","5",137.1,1,0,1,"female",1,18,0,0,5,5,5,12,0,10.8,1.4,1.74,"Graduate"
"1","1","1","9773","daytime","1",127,"19","37","9","3",120.7,1,0,1,"female",0,20,0,0,6,7,0,0,0,15.5,2.8,-4.06,"Dropout"
"1","17","2","9500","daytime","1",135,"19","1","5","0",127.3,1,0,1,"female",0,18,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,"Graduate"
"1","1","1","9130","daytime","1",137,"0","19","3","5",136.3,1,0,1,"female",0,20,1,0,5,8,4,12.25,2,10.8,1.4,1.74,"Graduate"
"1","1","3","171","daytime","1",122,"1","1","9","0",120.3,0,0,1,"female",1,21,0,0,0,0,0,0,0,11.1,0.6,2.02,"Graduate"
"1","1","4","9500","daytime","1",142,"19","19","0","0",125.5,1,0,1,"female",0,18,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,"Graduate"
"1","1","4","9670","daytime","1",125,"1","38","4","7",114.9,1,0,1,"female",1,19,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,"Graduate"
"1","1","1","9500","daytime","1",126,"19","19","3","7",123.9,0,0,1,"female",0,19,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,"Graduate"
"1","17","2","9238","daytime","1",115,"19","38","0","0",116.4,1,0,1,"female",0,21,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,"Graduate"
"1","1","1","9147","daytime","1",135,"19","1","9","9",122.1,1,0,1,"female",0,20,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,"Graduate"
"1","0","1","9070","daytime","1",125,"0","0","0","0",130,1,0,1,"male",0,20,0,0,6,9,4,13.4,0,8.9,1.4,3.51,"Graduate"
"1","0","1","8014","evening","1",138,"19","1","9","5",134.5,1,0,1,"female",0,19,0,0,6,8,6,14.375,0,12.4,0.5,1.79,"Graduate"
"1","1","1","9991","evening","1",130,"0","37","3","9",131.4,0,0,1,"male",0,34,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,"Graduate"
"1","39","1","33","daytime","1",130,"38","37","9","0",102.5,0,1,0,"male",0,37,0,0,7,7,1,10,0,8.9,1.4,3.51,"Dropout"
"1","39","1","9119","daytime","0",133.1,"0","37","0","0",128.8,1,0,1,"male",0,43,0,0,5,0,0,0,0,7.6,2.6,0.32,"Dropout"
"1","43","1","9147","daytime","1",140,"37","37","0","0",122.9,0,0,1,"female",0,55,0,0,5,8,2,12,2,16.2,0.3,-0.92,"Dropout"
"0","39","1","9991","evening","1",120,"19","19","9","3",113.9,1,0,1,"female",0,39,0,0,5,5,5,11.6,0,7.6,2.6,0.32,"Graduate"
